,director,runtime,release_year,category,cast1,cast2,cast3,genre
0,Dee Rees,107.0,2015,0,Queen Latifah, MoNique, Mike Epps,Drama
1,Michael Polish,121.0,2015,0,Kate Bosworth, Hayden Christensen, Hudson Meek,Drama
2,Alex Kalymnios,88.0,2015,0,Taryn Manning, Raymond Cruz, Katie Sarife,Drama
3,Fabrizio Conte,90.0,2015,0,Jerry Ferrara, Jessica Szohr, Robert Davi,Drama
4,Mark Neale,138.0,2015,0,Brad Pitt, Valentino Rossi, Jorge Lorenzo,Documentary
5,Stephen Reynolds,90.0,2015,0,Jonathan Good, Roger R. Cross, Daniel Cudmore,Action
6,Anthony C. Ferrante,88.0,2015,0,Ian Ziering, Tara Reid, Cassie Scerbo,TV Movie
7,Caryn Waechter,104.0,2015,0,Kara Hayward, Georgie Henley, Olivia DeJonge,Mystery
8,Mitch Davis,95.0,2015,0,Patrick Stewart, Cheryl Hines, Gary Cole,Romance
9,Isabel Coixet,105.0,2015,0,Patricia Clarkson, Ben Kingsley, Jake Weber,Romance
10,Jimmy Chin|Elizabeth Chai Vasarhelyi,89.0,2015,0,Conrad Anker, Grace Chin, Jimmy Chin,Adventure
11,Matt Winn,86.0,2015,0,Mischa Barton, Robert Knepper, Emily Atack,Thriller
12,Chris Sparling,92.0,2015,0,William Mapother, Rya Kihlstedt, Sharon Maughan,Horror
13,Mika KaurismÃ¤ki,106.0,2015,0,Malin Buska, Sarah Gadon, Michael Nyqvist,Drama
14,Brett Haley,92.0,2015,0,Blythe Danner, June Squibb, Rhea Perlman,Drama
15,Reed Morano,105.0,2015,0,Olivia Wilde, Luke Wilson, Elisabeth Moss,Drama
16,Butch Lukic,78.0,2015,0,Chris Diamantopoulos, Roger Craig Smith, Dana Snyder,Action
17,Alec Gillis,82.0,2015,0,Lance Henriksen, Matt Winston, Camille Balsamo,Science Fiction
18,Butch Lukic,81.0,2015,0,Roger Craig Smith, Troy Baker, Chris Diamantopoulos,Action
19,JosÃ© Manuel Cravioto,80.0,2015,0,Tina Ivlev, Richard Tyson, Bianca Malinowski,Thriller
20,Robbie Pickering,92.0,2015,0,Nicholas Braun, Mackenzie Davis, Ed Westwick,Science Fiction
21,Jeremy Lalonde,101.0,2015,0,Jewel Staite, Lauren Holly, Katharine Isabelle,Comedy
22,Francesco Cinquemani,100.0,2015,0,Alec Baldwin, Michelle Ryan, Danny Glover,Action
23,Jerry Jameson,97.0,2015,0,Kate Mara, David Oyelowo, Michael Kenneth Williams,Crime
24,Don Michael Paul,99.0,2015,0,Michael Gross, Jamie Kennedy, Pearl Thusi,Science Fiction
25,David Farr,87.0,2015,1,ClÃ©mence PoÃ©sy, David Morrissey, Stephen Campbell Moore,Thriller
26,Lee Friedlander,88.0,2015,0,Spencer Locke, Angeline Appel, Lauren York,Drama
27,Mike Mendez,83.0,2015,0,Steve Guttenberg, Nia Peeples, Patrick Renna,Horror
28,Kris Swanberg,90.0,2015,0,Cobie Smulders, Gail Bean, Anders Holm,Drama
29,Ethan Spaulding,72.0,2015,0,Sean Astin, Rosario Dawson, Nathan Fillion,Science Fiction
30,Jeppe RÃ¸nde,95.0,2015,0,Hannah Murray, Steven Waddington, Adrian Rawlins,Drama
31,Sean Cisterna,94.0,2015,0,Ana Golja, Jennifer Beals, Ashanti Bromfield,History
32,Jeffrey Hornaday,104.0,2015,0,Ross Lynch, Maia Mitchell, Grace Phipps,Comedy
33,Jake Szymanski,43.0,2015,0,Andy Samberg, Kit Harington, Jon Hamm,TV Movie
34,Jonathan M. Gunn,115.0,2015,0,Mira Sorvino, Sean Astin, Alexa PenaVega,Fantasy
35,Zachary Sluser,95.0,2015,0,Zooey Deschanel, Aubrey Plaza, Anton Yelchin,Romance
36,Davis Guggenheim,87.0,2015,0,Malala Yousafzai, Ziauddin Yousafzai, Toor Pekai Yousafzai,Documentary
37,Ben Chanan,62.0,2015,0,Maisie Williams, Ella Purnell, Haruka Abe,Drama
38,Iain Softley,86.0,2015,0,Julianne Hough, Teddy Sears, Madalyn Horcher,Horror
39,Paul Haggis,300.0,2015,0,Oscar Isaac, Alfred Molina, Winona Ryder,History
40,Emily Ting,78.0,2015,0,Jamie Chung, Bryan Greenberg, Richard Ng,Romance
41,Marcus Nispel,91.0,2015,0,Stephen Lang, Kelly Blatz, Brittany Curran,Thriller
42,Alberto Marini,81.0,2015,0,Maiara Walsh, Diego Boneta, Jocelin Donahue,Horror
43,Paul Weitz,78.0,2015,0,Lily Tomlin, Julia Garner, Marcia Gay Harden,Drama
44,Adam Mason,85.0,2015,0,Jeremy Sisto, Kate Ashfield, Ty Simpkins,Thriller
45,Angelo Pizzo,118.0,2015,0,Aaron Eckhart, Finn Wittrock, Robin Tunney,Drama
46,Conor McMahon,90.0,2015,0,Niamh Algar, Stephen Cromwell," ""Gerry OBrien""",Horror
47,Robert Pulcini|Shari Springer Berman,113.0,2015,0,Ethan Hawke, Asa Butterfield, Hailee Steinfeld,Music
48,Jason Stutter,80.0,2015,0,Jed Brophy, Jeffrey Thomas, Laura Petersen,Horror
49,Adam Egypt Mortimer,82.0,2015,0,Grace Phipps, Sierra McCormick, Lexi Atkins,Horror
50,Ben Blaine|Chris Blaine,98.0,2015,0,Abigail Hardingham, Cian Barry," ""Fiona OShaughnessy""",Horror
51,Jason Aron,95.0,2015,0,Lea Thompson, Michael J. Fox, Christopher Lloyd,History
52,Stephen Fingleton,104.0,2015,0,Mia Goth, Martin McCann, Olwen FouÃ©rÃ©,Drama
53,Aisling Walsh,86.0,2015,0,David Thewlis, Miranda Richardson, Ken Stott,Drama
54,Anna Mastro,87.0,2015,0,Andrew J. West, Justin Kirk, Virginia Madsen,Drama
55,Adam MacDonald,92.0,2015,0,Missy Peregrym, Jeff Roop, Eric Balfour,Drama
56,Alex Gibney,129.0,2015,1,Bob Belleville, Chrisann Brennan, Nolan Bushnell,Documentary
58,Rhys Thomas,108.0,2015,0,Graham Phillips, Zack Pearlman, Ashley Greene,Comedy
59,Josh Cooley,5.0,2015,0,Amy Poehler, Phyllis Smith, Bill Hader,Animation
60,Nick Simon,95.0,2015,0,Kal Penn, Claudia Lee, Kenny Wormald,Crime
61,Peter Sullivan,84.0,2015,0,Katrina Law, Donna Mills," ""Aaron OConnell""",Family
62,Grant Harvey|Steven Hoban|Brett Sullivan,99.0,2015,0,William Shatner, George Buza, Rob Archer,Horror
63,Cary Fukunaga,137.0,2015,0,Idris Elba, Opeyemi Fagbohungbe, Abraham Attah,Drama
64,Michael Moore,120.0,2015,0,Michael Moore, Krista Kiuru, Tim Walker,Documentary
65,David Hackl,94.0,2015,0,James Marsden, Piper Perabo, Billy Bob Thornton,Action
66,Pamela Romanowsky,105.0,2015,0,James Franco, Amber Heard, Ed Harris,Thriller
67,Jon M. Chu,119.0,2015,0,Aubrey Peeples, Stefanie Scott, Aurora Perrineau,Drama
68,Owen Harris,100.0,2015,0,Nicholas Hoult, Craig Roberts, Georgia King,Thriller
69,Sofia Coppola,56.0,2015,0,Bill Murray, Paul Shaffer, George Clooney,Comedy
70,Todd Strauss-Schulson,91.0,2015,0,Taissa Farmiga, Malin Ã…kerman, Nina Dobrev,Horror
71,Stephen Frears,103.0,2015,0,Ben Foster, Chris ODowd, Dustin Hoffman,Drama
72,Roxanne Benjamin|David Bruckner|Patrick Horvath|Chad Villella|Matt Bettinelli-Olpin|Tyler Gillett|Justin Martinez|Radio Silence,89.0,2015,0,Kate Beahan, Matt Bettinelli-Olpin, Susan Burke,Fantasy
73,Fred Wolf,107.0,2015,0,David Spade, Brittany Daniel, Dennis Miller,Comedy
74,Andrew Niccol,104.0,2015,0,Ethan Hawke, January Jones, ZoÃ« Kravitz,Action
75,Marc Abraham,123.0,2015,0,Tom Hiddleston, Elizabeth Olsen, David Krumholtz,Drama
76,Sam Liu,76.0,2015,0,Benjamin Bratt, Michael C. Hall, Tamara Taylor,Action
77,Jason Lei Howden,86.0,2015,0,Milo Cawthorne, Kimberley Crossman, Sam Berkley,Comedy
78,Zach Lipovsky,118.0,2015,0,Jesse Metcalfe, Meghan Ory, Keegan Connor Tracy,Horror
79,Mike Binder,121.0,2015,0,Kevin Costner, Jennifer Ehle, Gillian Jacobs,Drama
80,Gary Rydstrom,99.0,2015,0,Alan Cumming, Evan Rachel Wood, Elijah Kelley,Music
81,Craig Moss,85.0,2015,0,Danny Trejo, Danny Glover, John Amos,Comedy
82,Spike Lee,127.0,2015,0,Teyonah Parris, Nick Cannon, Angela Bassett,Music
83,Jason Friedberg|Aaron Seltzer,99.0,2015,0,Alex Ashbaugh, Dale Pavinkski, Lili Mirojnick,Comedy
85,Bernard Rose,89.0,2015,0,Carrie-Anne Moss, Danny Huston, Xavier Samuel,Horror
86,Robert Carlyle,96.0,2015,0,Robert Carlyle, Emma Thompson, Ray Winstone,Thriller
87,Peter Strickland,101.0,2015,0,Sidse Babett Knudsen, Chiara DAnna, Monica Swinn,Drama
88,April Mullen,88.0,2015,0,Katharine Isabelle, Christopher Lloyd, Kyle Schmid,Thriller
89,Marya Cohn,86.0,2015,0,Emily VanCamp, Michael Nyqvist, Ana Mulvoy Ten,Drama
90,Aaron Hann|Mario Miscione,87.0,2015,0,Julie Benz, Carter Jenkins, Cesar Garcia,Drama
91,Karen J. Lloyd,84.0,2015,0,Kelly Sheridan, Jordyn Kane, Chiara Zanni,Animation
